OBJECTNUMMER;Naam;Bron;ProjectID;Uitvoerder;Datum;Maaiveld_hoogte;Diepte_to_maaiveld;Top_Pleistoceen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1662;"B04-1704";"Waternet";"3938";"onbekend";"onbekend";"0.4";"-22.6";-12.3;"POINT(4.850048,52.400239)";"POINT(52.400239,4.850048)";4.850048;52.400239;
1663;"B04-1705";"Waternet";"3938";"onbekend";"onbekend";"0.8";"-22.6";-12.2;"POINT(4.850267,52.400366)";"POINT(52.400366,4.850267)";4.850267;52.400366;
1664;"B04-1717";"Waternet";"(12)41240";"onbekend";"onbekend";"1.0";"-22.4";-12.8;"POINT(4.842253,52.409236)";"POINT(52.409236,4.842253)";4.842253;52.409236;
1665;"B04-1718";"Waternet";"(12)41240";"onbekend";"onbekend";"1.0";"-21.6";-12.8;"POINT(4.842457,52.409399)";"POINT(52.409399,4.842457)";4.842457;52.409399;
1666;"B04-1719";"Waternet";"(12)41240";"onbekend";"onbekend";"1.0";"-22.5";-12.8;"POINT(4.842646,52.409543)";"POINT(52.409543,4.842646)";4.842646;52.409543;
1667;"B04-1720";"Waternet";"(12)41240";"onbekend";"onbekend";"1.0";"-22.5";-11.5;"POINT(4.842864,52.409724)";"POINT(52.409724,4.842864)";4.842864;52.409724;
1668;"B04-1726";"Waternet";"4109";"onbekend";"onbekend";"1.0";"-34.3";-21.4;"POINT(4.844211,52.406558)";"POINT(52.406558,4.844211)";4.844211;52.406558;
1669;"B04-184";"Waternet";"12";"onbekend";"onbekend";"-2.9";"-14.0";-12.7;"POINT(4.841523,52.408882)";"POINT(52.408882,4.841523)";4.841523;52.408882;
1670;"B04-1860";"Waternet";"(12)5225";"onbekend";"onbekend";"1.0";"-27.8";-14.2;"POINT(4.830641,52.409434)";"POINT(52.409434,4.830641)";4.830641;52.409434;
1671;"B04-19";"Waternet";"161";"onbekend";"onbekend";"0.7";"-15.2";-12.9;"POINT(4.829282,52.407648)";"POINT(52.407648,4.829282)";4.829282;52.407648;
1672;"B04-1937";"Waternet";"5293";"onbekend";"onbekend";"-1.7";"-34.8";-11.8;"POINT(4.847749,52.415319)";"POINT(52.415319,4.847749)";4.847749;52.415319;
1673;"B04-1941";"Waternet";"5159";"onbekend";"onbekend";"1.7";"-15.8";-12.2;"POINT(4.84405,52.416111)";"POINT(52.416111,4.84405)";4.84405;52.416111;
1674;"B04-1943";"Waternet";"7767";"onbekend";"onbekend";"1.4";"-15.5";-12.6;"POINT(4.84482,52.415638)";"POINT(52.415638,4.84482)";4.84482;52.415638;
1675;"B04-1944";"Waternet";"7767";"onbekend";"onbekend";"1.4";"-19.9";-12.6;"POINT(4.845424,52.415551)";"POINT(52.415551,4.845424)";4.845424;52.415551;
1676;"B04-1946";"Waternet";"5159";"onbekend";"onbekend";"1.6";"-20.6";-12.8;"POINT(4.845356,52.415137)";"POINT(52.415137,4.845356)";4.845356;52.415137;
1677;"B04-1947";"Waternet";"5159";"onbekend";"onbekend";"1.6";"-20.0";-13.2;"POINT(4.844534,52.415025)";"POINT(52.415025,4.844534)";4.844534;52.415025;
1678;"B04-1948";"Waternet";"5159";"onbekend";"onbekend";"-4.9";"-19.1";-12.5;"POINT(4.844075,52.415257)";"POINT(52.415257,4.844075)";4.844075;52.415257;
1679;"B04-206";"Waternet";"93";"onbekend";"onbekend";"-3.2";"-17.8";-17.1;"POINT(4.838631,52.410981)";"POINT(52.410981,4.838631)";4.838631;52.410981;
1680;"B04-207";"Waternet";"94";"onbekend";"onbekend";"-2.9";"-13.3";-12.9;"POINT(4.839858,52.410411)";"POINT(52.410411,4.839858)";4.839858;52.410411;
1681;"B04-209";"Waternet";"96";"onbekend";"onbekend";"-2.7";"-13.2";-12.6;"POINT(4.842106,52.409289)";"POINT(52.409289,4.842106)";4.842106;52.409289;
1682;"B04-217";"Waternet";"55";"onbekend";"onbekend";"-2.8";"-13.6";-13.8;"POINT(4.842445,52.41276)";"POINT(52.41276,4.842445)";4.842445;52.41276;
1683;"B04-218";"Waternet";"56";"onbekend";"onbekend";"-2.8";"-13.6";-12.5;"POINT(4.843273,52.412386)";"POINT(52.412386,4.843273)";4.843273;52.412386;
1684;"B04-2189";"Waternet";"(12)64420";"onbekend";"onbekend";"0.4";"-22.4";-12.5;"POINT(4.824887,52.415815)";"POINT(52.415815,4.824887)";4.824887;52.415815;
