OBJECTNUMMER;SidewalkID;Streetname;Segments;NetworkType;ComfortLevelCode;ComfortLevel;SpaceclaimCode;Spaceclaim;SpaceclaimAantal;SituationCode;Situation;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
735;735;"Raadhuisstraat";"0003";"";"22";"2.2m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888625 52.373367,4.889166 52.373335)";"LINESTRING(52.373367 4.888625,52.373335 4.889166)";4.8889005;52.37334505;
736;736;"Raadhuisstraat";"0004";"";"22";"2.2m";"WINKEL|TERRAS|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Terrassen - Winkeluitstalling & reclameborden";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887503 52.373488,4.887514 52.373459,4.887574 52.373445,4.888168 52.373381,4.888455 52.373361)";"LINESTRING(52.373488 4.887503,52.373459 4.887514,52.373445 4.887574,52.373381 4.888168,52.373361 4.888455)";4.887984;52.37341755;
737;737;"Raadhuisstraat";"0005";"";"18";"1.8m";"BROM|TERRAS|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Terrassen";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.885395 52.374054,4.885616 52.373998,4.885806 52.373933,4.886016 52.373819,4.886346 52.373638,4.886540 52.373574,4.886707 52.373545,4.886890 52.373526)";"LINESTRING(52.374054 4.885395,52.373998 4.885616,52.373933 4.885806,52.373819 4.886016,52.373638 4.886346,52.373574 4.886540,52.373545 4.886707,52.373526 4.886890)";4.8861475;52.37378375;
738;738;"Raadhuisstraat";"0006";"";"18";"1.8m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886869 52.373336,4.886467 52.373389,4.886211 52.373478,4.885975 52.373598,4.885670 52.373754,4.885517 52.373816,4.885375 52.373860)";"LINESTRING(52.373336 4.886869,52.373389 4.886467,52.373478 4.886211,52.373598 4.885975,52.373754 4.885670,52.373816 4.885517,52.373860 4.885375)";4.886127;52.3735911;
739;739;"Raadhuisstraat";"0007";"";"09";"0.9m";"FIETSONREG|PAAL";"Geparkeerde fietsen ongereguleerd - Palen en masten";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887379 52.373269,4.886966 52.373313)";"LINESTRING(52.373269 4.887379,52.373313 4.886966)";4.8871777;52.373284;
740;740;"Raadhuisstraat";"0008";"";"22";"2.2m";"FIETSREG|MEUBEL|OVERIG";"Geparkeerde fietsen gereguleerd - Overig - Straatmeubilair";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888435 52.373180,4.887770 52.373241,4.887597 52.373262,4.887469 52.373248)";"LINESTRING(52.373180 4.888435,52.373241 4.887770,52.373262 4.887597,52.373248 4.887469)";4.88795685;52.37321345;
741;741;"Raadhuisstraat";"0009";"";"22";"2.2m";"MEUBEL|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Straatmeubilair";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889058 52.373142,4.888552 52.373168)";"LINESTRING(52.373142 4.889058,52.373168 4.888552)";4.88881015;52.37314855;
742;742;"Raadhuisstraat";"0010";"";"29";"2.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889532 52.373117,4.889469 52.373131,4.889318 52.373137,4.889184 52.373126)";"LINESTRING(52.373117 4.889532,52.373131 4.889469,52.373137 4.889318,52.373126 4.889184)";4.88936305;52.37311995;
743;743;"Raadhuisstraat";"0011";"";"18";"1.8m";"MEUBEL";"Straatmeubilair";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890376 52.373075,4.890314 52.373079,4.890027 52.373097,4.889751 52.373105)";"LINESTRING(52.373075 4.890376,52.373079 4.890314,52.373097 4.890027,52.373105 4.889751)";4.89006855;52.37308185;
744;744;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890377 52.373073,4.890785 52.373061)";"LINESTRING(52.373073 4.890377,52.373061 4.890785)";4.8905861;52.37306085;
745;745;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890311 52.373079,4.890347 52.373279)";"LINESTRING(52.373079 4.890311,52.373279 4.890347)";4.8903339;52.3731715;
746;746;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890407 52.373309,4.890811 52.373289)";"LINESTRING(52.373309 4.890407,52.373289 4.890811)";4.89061405;52.37329165;
747;747;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889166 52.373335,4.889264 52.37334)";"LINESTRING(52.373335 4.889166,52.37334 4.889264)";4.88922;52.3733317;
748;748;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889592 52.373318,4.8898 52.373301)";"LINESTRING(52.373318 4.889592,52.373301 4.8898)";4.88970115;52.3733031;
749;749;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.8898 52.373301,4.889751 52.373105)";"LINESTRING(52.373301 4.8898,52.373105 4.889751)";4.88978055;52.3731963;
750;750;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889751 52.373105,4.889532 52.373117)";"LINESTRING(52.373105 4.889751,52.373117 4.889532)";4.88964655;52.3731028;
