OBJECTNUMMER;Soort;Plantjaar;Stamdiameter;Hoogte;Beplantingssituatie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
27795;"ULCARPIN";1990;"Onbekend";"6-9 m";"";"POINT(4.9513848,52.3649603)";"POINT(52.3649603,4.9513848)";4.9513848;52.3649603;
27796;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.9522402,52.3508727)";"POINT(52.3508727,4.9522402)";4.9522402;52.3508727;
27797;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.953964,52.3495375)";"POINT(52.3495375,4.953964)";4.953964;52.3495375;
27798;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.9540598,52.3493659)";"POINT(52.3493659,4.9540598)";4.9540598;52.3493659;
27799;"ULCARPIN";2000;"Onbekend";"6-9 m";"";"POINT(4.9551222,52.3481948)";"POINT(52.3481948,4.9551222)";4.9551222;52.3481948;
27800;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.9553902,52.3483626)";"POINT(52.3483626,4.9553902)";4.9553902;52.3483626;
27801;"ULCARPIN";2000;"Onbekend";"6-9 m";"";"POINT(4.9553931,52.3487937)";"POINT(52.3487937,4.9553931)";4.9553931;52.3487937;
27802;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.956188,52.3486182)";"POINT(52.3486182,4.956188)";4.956188;52.3486182;
27803;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.9562218,52.3484046)";"POINT(52.3484046,4.9562218)";4.9562218;52.3484046;
27804;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.9563281,52.3487784)";"POINT(52.3487784,4.9563281)";4.9563281;52.3487784;
27805;"WW";2000;"Onbekend";"0-6 m";"";"POINT(4.9564669,52.3484656)";"POINT(52.3484656,4.9564669)";4.9564669;52.3484656;
27806;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.9566281,52.3483435)";"POINT(52.3483435,4.9566281)";4.9566281;52.3483435;
27807;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.956783,52.3482558)";"POINT(52.3482558,4.956783)";4.956783;52.3482558;
27808;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.9569099,52.3479773)";"POINT(52.3479773,4.9569099)";4.9569099;52.3479773;
27809;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.9573529,52.3482939)";"POINT(52.3482939,4.9573529)";4.9573529;52.3482939;
27810;"ULHWREDE";1990;"Onbekend";"0-6 m";"";"POINT(4.9574759,52.3487555)";"POINT(52.3487555,4.9574759)";4.9574759;52.3487555;
27811;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9574888,52.3475539)";"POINT(52.3475539,4.9574888)";4.9574888;52.3475539;
27812;"ULHWREDE";1990;"Onbekend";"6-9 m";"";"POINT(4.9575241,52.3482138)";"POINT(52.3482138,4.9575241)";4.9575241;52.3482138;
27813;"WW";2000;"Onbekend";"0-6 m";"";"POINT(4.957813,52.3476836)";"POINT(52.3476836,4.957813)";4.957813;52.3476836;
27814;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.9649479,52.2897078)";"POINT(52.2897078,4.9649479)";4.9649479;52.2897078;
27815;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.9650052,52.2896468)";"POINT(52.2896468,4.9650052)";4.9650052;52.2896468;
27816;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.9650581,52.2888571)";"POINT(52.2888571,4.9650581)";4.9650581;52.2888571;
27817;"ULCARPIN";1988;"Onbekend";"9-12 m";"";"POINT(4.9997232,52.3134009)";"POINT(52.3134009,4.9997232)";4.9997232;52.3134009;
27818;"ULCARPIN";1988;"Onbekend";"9-12 m";"";"POINT(5.0069868,52.3114554)";"POINT(52.3114554,5.0069868)";5.0069868;52.3114554;
27819;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(5.0094168,52.3122756)";"POINT(52.3122756,5.0094168)";5.0094168;52.3122756;
27820;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.0096071,52.3125998)";"POINT(52.3125998,5.0096071)";5.0096071;52.3125998;
27821;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(5.0096919,52.3123786)";"POINT(52.3123786,5.0096919)";5.0096919;52.3123786;
27822;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(5.0099299,52.3118483)";"POINT(52.3118483,5.0099299)";5.0099299;52.3118483;
27823;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(5.0099752,52.3117453)";"POINT(52.3117453,5.0099752)";5.0099752;52.3117453;
27824;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(5.0099628,52.3139617)";"POINT(52.3139617,5.0099628)";5.0099628;52.3139617;
27825;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.0099919,52.3126036)";"POINT(52.3126036,5.0099919)";5.0099919;52.3126036;
27826;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(5.0099862,52.3138548)";"POINT(52.3138548,5.0099862)";5.0099862;52.3138548;
27827;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(5.0100691,52.3139617)";"POINT(52.3139617,5.0100691)";5.0100691;52.3139617;
27828;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(5.0102141,52.3118636)";"POINT(52.3118636,5.0102141)";5.0102141;52.3118636;
27829;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(5.0102541,52.3119704)";"POINT(52.3119704,5.0102541)";5.0102541;52.3119704;
27830;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(5.0103209,52.3116881)";"POINT(52.3116881,5.0103209)";5.0103209;52.3116881;
27831;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(5.0104158,52.3123061)";"POINT(52.3123061,5.0104158)";5.0104158;52.3123061;
27832;"ULCARPIN";2000;"Onbekend";"6-9 m";"";"POINT(5.0104229,52.3135268)";"POINT(52.3135268,5.0104229)";5.0104229;52.3135268;
27833;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.0107129,52.3125311)";"POINT(52.3125311,5.0107129)";5.0107129;52.3125311;
27834;"ULCARPIN";1994;"Onbekend";"9-12 m";"";"POINT(5.0107529,52.3120085)";"POINT(52.3120085,5.0107529)";5.0107529;52.3120085;
27835;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(5.0108702,52.3132292)";"POINT(52.3132292,5.0108702)";5.0108702;52.3132292;
27836;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(5.0108712,52.3138205)";"POINT(52.3138205,5.0108712)";5.0108712;52.3138205;
27837;"ULHVEGET";1980;"Onbekend";"15-18 m";"";"POINT(5.0109861,52.3119589)";"POINT(52.3119589,5.0109861)";5.0109861;52.3119589;
27838;"ULCARPIN";1994;"Onbekend";"0-6 m";"";"POINT(5.0109732,52.3141867)";"POINT(52.3141867,5.0109732)";5.0109732;52.3141867;
27839;"ULCARPIN";2000;"Onbekend";"6-9 m";"";"POINT(5.0109932,52.3122527)";"POINT(52.3122527,5.0109932)";5.0109932;52.3122527;
27840;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(5.0110819,52.3136908)";"POINT(52.3136908,5.0110819)";5.0110819;52.3136908;
27841;"ULCARPIN";2000;"Onbekend";"6-9 m";"";"POINT(5.0112178,52.3126875)";"POINT(52.3126875,5.0112178)";5.0112178;52.3126875;
27842;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(5.011214,52.3140227)";"POINT(52.3140227,5.011214)";5.011214;52.3140227;
