OBJECTNUMMER;Volgnummer;Adres;Soort_tuin;Sinds;Oppervlakte_m2;Stadsdeel;Foto;Weblink;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
11;13;"Sportplaza Mercator";"Muur";2000;"West";"Mercatorsportplaza_groendak_FAH.jpg";"MUUR";"POINT(4.8460448,52.3716933)";"POINT(52.3716933,4.8460448)";4.8460448;52.3716933;
12;30;"Hudsonhof";"Daktuin";1999;300;"West";"DAKTUIN";"POINT(4.8518851,52.3698927)";"POINT(52.3698927,4.8518851)";4.8518851;52.3698927;
13;14;"Mercatorplein Bibliotheek";"Sedumdak";2006;0;"West";"Mercatorplein 2.JPG";"";"SEDUMDAK";"POINT(4.8502548,52.3692938)";"POINT(52.3692938,4.8502548)";4.8502548;52.3692938;
14;35;"Dokter Meurerlaan 8";"Sedumdak";0;0;"Nieuw-West";"HvA-osdorp.jpg";"";"SEDUMDAK";"POINT(4.8062208,52.3677527)";"POINT(52.3677527,4.8062208)";4.8062208;52.3677527;
15;12;"Calandlyceum, Pieter Calandlaan 182";"Sedumdak";2006;800;"Nieuw-West";"SEDUMDAK";"POINT(4.8060052,52.3536917)";"POINT(52.3536917,4.8060052)";4.8060052;52.3536917;
16;43;"Dijlenhof";"Sedumdak";"Nieuw-West";"SEDUMDAK";"POINT(4.8049452,52.3438918)";"POINT(52.3438918,4.8049452)";4.8049452;52.3438918;
17;44;"Denderhof";"Sedumdak";"Nieuw-West";"SEDUMDAK";"POINT(4.8049552,52.3429915)";"POINT(52.3429915,4.8049552)";4.8049552;52.3429915;
18;19;"Jaagpad";"Sedumdak";"Zuid";"SEDUMDAK";"POINT(4.8492448,52.3451926)";"POINT(52.3451926,4.8492448)";4.8492448;52.3451926;
19;9;"Cornelis Krusemanstraat";"Sedumdak";2008;65;"Zuid";"Krusemank.jpg";"SEDUMDAK";"POINT(4.8632052,52.3514945)";"POINT(52.3514945,4.8632052)";4.8632052;52.3514945;
20;17;"Amsterdams lyceum Valeriusplein";"Daktuin";"Zuid";"DAKTUIN";"POINT(4.864495,52.3511931)";"POINT(52.3511931,4.864495)";4.864495;52.3511931;
21;26;"Eerste Jan Steenstraat 14-36";"Daktuin";1986;300;"Zuid";"DAKTUIN";"POINT(4.888355,52.3533942)";"POINT(52.3533942,4.888355)";4.888355;52.3533942;
22;8;"Ruysdaelkade 215";"Sedumdak";2009;196;"Zuid";"Ruysdaelkadek.jpg";"SEDUMDAK";"POINT(4.8870451,52.3510939)";"POINT(52.3510939,4.8870451)";4.8870451;52.3510939;
23;25;"Tweede van der Helststraat 66";"Daktuin";1987;1200;"Zuid";"DAKTUIN";"POINT(4.8937852,52.3501937)";"POINT(52.3501937,4.8937852)";4.8937852;52.3501937;
24;34;"Bur. Tellegenstraat-P.L. Takstraat";"Sedumdak";"Zuid";"SEDUMDAK";"POINT(4.8983748,52.3497931)";"POINT(52.3497931,4.8983748)";4.8983748;52.3497931;
25;28;"Van Woustraat";"Daktuin";2003;175;"Zuid";"van woustraat.jpg";"http://daktuin.org/";"DAKTUIN";"POINT(4.898915,52.357392)";"POINT(52.357392,4.898915)";4.898915;52.357392;
26;39;"Achtergracht 43G";"Sedumdak";"Centrum";"Aanleg Ecodaken 033Achtergracht 43g.jpg";"SEDUMDAK";"POINT(4.902395,52.3614928)";"POINT(52.3614928,4.902395)";4.902395;52.3614928;
27;31;"Tweede Boerhaavestraat";"Daktuin";1900;"Oost";"DAKTUIN";"POINT(4.9119751,52.3593947)";"POINT(52.3593947,4.9119751)";4.9119751;52.3593947;
28;4;"Weesperzijde 105";"Sedumdak";2002;"Oost";"weesperzijde105.jpg";"SEDUMDAK";"POINT(4.9117649,52.3515936)";"POINT(52.3515936,4.9117649)";4.9117649;52.3515936;
29;5;"Luykxterrein Weesperzijde 112";"Sedumdak";2008;"Oost";"SEDUMDAK";"POINT(4.9131648,52.3508917)";"POINT(52.3508917,4.9131648)";4.9131648;52.3508917;
30;38;"Retiefstraat 11";"Daktuin";10;"Oost";"retiefstraat.jpg";"DAKTUIN";"POINT(4.9252951,52.3561942)";"POINT(52.3561942,4.9252951)";4.9252951;52.3561942;
31;20;"Februariplein";"Daktuin";"Centrum";"markenplein_1e.jpg";"DAKTUIN";"POINT(4.9060051,52.3686911)";"POINT(52.3686911,4.9060051)";4.9060051;52.3686911;
32;21;"Koerierstersplein";"Daktuin";"Centrum";"DAKTUIN";"POINT(4.9071948,52.3692938)";"POINT(52.3692938,4.9071948)";4.9071948;52.3692938;
33;22;"Anne Frankstraat";"Daktuin";"Centrum";"DAKTUIN";"POINT(4.908335,52.3695914)";"POINT(52.3695914,4.908335)";4.908335;52.3695914;
34;15;"Artis dierenhok";"Sedumdak";"Centrum";"SEDUMDAK";"POINT(4.9189951,52.366593)";"POINT(52.366593,4.9189951)";4.9189951;52.366593;
35;18;"Hoogte Kadijk";"Daktuin";1993;1200;"Centrum";"hoogte-kadijk.jpg";"";"DAKTUIN";"POINT(4.9219075,52.3674348)";"POINT(52.3674348,4.9219075)";4.9219075;52.3674348;
36;7;"Prinsengracht 324 P";"Sedumdak";"Centrum";"woonboot_prinsengracht.jpg";"SEDUMDAK";"POINT(4.8825548,52.3690917)";"POINT(52.3690917,4.8825548)";4.8825548;52.3690917;
