OBJECTNUMMER;Soortnaam_NL;Boomnummer;Soortnaam_WTS;Boomtype;Boomhoogte;Plantjaar;Eigenaar;Beheerder;Categorie;SOORT_KORT;SDVIEW;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
26256;"Veldesdoorn";579881;"Acer campestre";"Boom vrij uitgroeiend";"9 tot 12 m.";1977;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";3;"POINT(4.878546,52.342411)";"POINT(52.342411,4.878546)";4.878546;52.342411;
26257;"Grauwe wilg";579880;"Salix cinerea";"Boom niet vrij uitgroeiend";"6 tot 12 m.";1956;"Gemeente Amsterdam";"Stadsdeel Zuid";"Salix";"Salix";"K";3;"POINT(4.854401,52.333751)";"POINT(52.333751,4.854401)";4.854401;52.333751;
26258;"Canadese populier (cultuurvariëteit)";579879;"Populus canadensis `Robusta`";"Boom niet vrij uitgroeiend";"tot 6 m.";1973;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";1;"POINT(4.862979,52.337616)";"POINT(52.337616,4.862979)";4.862979;52.337616;
26259;"Veldesdoorn";579878;"Acer campestre";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1978;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";5;"POINT(4.852996,52.333911)";"POINT(52.333911,4.852996)";4.852996;52.333911;
26260;"Zoete kers";579875;"Prunus avium";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Prunus";"Prunus";"K";4;"POINT(4.874537,52.333616)";"POINT(52.333616,4.874537)";4.874537;52.333616;
26261;"Zwarte els";579874;"Alnus glutinosa";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Alnus";"Alnus";"K";5;"POINT(4.885328,52.342949)";"POINT(52.342949,4.885328)";4.885328;52.342949;
26262;"Zwarte els";579873;"Alnus glutinosa";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Alnus";"Alnus";"K";4;"POINT(4.885307,52.342766)";"POINT(52.342766,4.885307)";4.885307;52.342766;
26263;"Schietwilg";579872;"Salix alba";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Salix";"Salix";"K";7;"POINT(4.885275,52.3427)";"POINT(52.3427,4.885275)";4.885275;52.3427;
26264;"Papierberk";579631;"Betula papyrifera";"Boom niet vrij uitgroeiend";"tot 6 m.";2002;"Gemeente Amsterdam";"Stadsdeel Zuid";"Betula";"Betula";"K";1;"POINT(4.891944,52.32843)";"POINT(52.32843,4.891944)";4.891944;52.32843;
26265;"Papierberk";579630;"Betula papyrifera";"Boom vrij uitgroeiend";"6 tot 9 m.";2002;"Gemeente Amsterdam";"Stadsdeel Zuid";"Betula";"Betula";"K";2;"POINT(4.891877,52.32838)";"POINT(52.32838,4.891877)";4.891877;52.32838;
26266;"Canadese populier (cultuurvariëteit)";579627;"Populus canadensis `Robusta`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";7;"POINT(4.885379,52.343567)";"POINT(52.343567,4.885379)";4.885379;52.343567;
26267;"Schietwilg (cultuurvariëteit)";579625;"Salix alba `Liempde`";"Boom niet vrij uitgroeiend";"24 m. en hoger";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Salix";"Salix";"K";8;"POINT(4.885289,52.343562)";"POINT(52.343562,4.885289)";4.885289;52.343562;
26268;"Gewone es (cultuurvariëteit)";579624;"Fraxinus excelsior `Westhof`s Glorie`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1982;"Gemeente Amsterdam";"Stadsdeel Zuid";"Fraxinus";"Fraxinus";"K";3;"POINT(4.886106,52.32229)";"POINT(52.32229,4.886106)";4.886106;52.32229;
26269;"Scherpe hulst (cultuurvariëteit)";579623;"Ilex aquifolium `J.C. van Tol`";"Boom vrij uitgroeiend";"6 tot 9 m.";1938;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Ilex";"K";2;"POINT(4.87891,52.34459)";"POINT(52.34459,4.87891)";4.87891;52.34459;
26270;"Scherpe hulst (cultuurvariëteit)";579622;"Ilex aquifolium `J.C. van Tol`";"Boom vrij uitgroeiend";"6 tot 9 m.";1938;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Ilex";"K";2;"POINT(4.878917,52.344606)";"POINT(52.344606,4.878917)";4.878917;52.344606;
26271;"Scherpe hulst (cultuurvariëteit)";579621;"Ilex aquifolium `J.C. van Tol`";"Boom vrij uitgroeiend";"6 tot 9 m.";1938;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Ilex";"K";2;"POINT(4.878871,52.344624)";"POINT(52.344624,4.878871)";4.878871;52.344624;
26272;"Gewone esdoorn";579620;"Acer pseudoplatanus";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1978;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";4;"POINT(4.880957,52.345669)";"POINT(52.345669,4.880957)";4.880957;52.345669;
26273;"Vogelkers";579619;"Prunus padus";"Boom vrij uitgroeiend";"tot 6 m.";1984;"Gemeente Amsterdam";"Stadsdeel Zuid";"Prunus";"Prunus";"K";1;"POINT(4.880798,52.345587)";"POINT(52.345587,4.880798)";4.880798;52.345587;
