OBJECTNUMMER;GebouwGenoot;Gebouwnaam;Adres;Gebouwtype;Genootschap;Categorie_id;Categorie;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
159;"Zevende-dags adventisten";"Zevende-dags adventisten";"Kortvoort 73";"Onbekend";"";5;"Christelijke kerk overig";"http://www.adventist.nl/locatie/";"POINT(4.9723709,52.3141829)";"POINT(52.3141829,4.9723709)";4.9723709;52.3141829;
160;"Lighthouse Chapel - Kerkgenootschap der Zevende-dags Adventisten (Ghanees)";"Lighthouse Chapel";"Kraaiennest 120";"Samenkomstfunctie";"Kerkgenootschap der Zevende-dags Adventisten (Ghanees)";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9806759,52.3158042)";"POINT(52.3158042,4.9806759)";4.9806759;52.3158042;
161;"Lighthouse Chapel - Pinkstergemeente Zuidoost";"Lighthouse Chapel";"Kraaiennest 120";"Samenkomstfunctie";"Pinkstergemeente Zuidoost";1;"Evangelische- of Pinksterkerk";"http://www.pinkstergemeenteamsterdamzuidoost.nl/?page_id=679";"POINT(4.9802191,52.31622)";"POINT(52.31622,4.9802191)";4.9802191;52.31622;
162;"Djame Masdjied Taibah";"Djame Masdjied Taibah";"Kraaiennest 125";"Moskee";"";8;"Surinaamse / Pakistaanse Moskee";"";"POINT(4.9797461,52.3157393)";"POINT(52.3157393,4.9797461)";4.9797461;52.3157393;
163;"Redemption faith ministries";"Redemption faith ministries";"Kralenbeek 50";"Samenkomstfunctie";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9768088,52.314736)";"POINT(52.314736,4.9768088)";4.9768088;52.314736;
164;"Church of Christ - Evangelisch / Pinkstergemeente / Migrantenkerk";"Church of Christ";"Krimpertplein 3A";"Samenkomstfunctie";"Evangelisch / Pinkstergemeente / Migrantenkerk";1;"Evangelische- of Pinksterkerk";"";"POINT(4.969353,52.3169753)";"POINT(52.3169753,4.969353)";4.969353;52.3169753;
165;"Armeens Apostolische kerk Amsterdam - Armeens Apostolische Kerk";"Armeens Apostolische kerk Amsterdam";"Krom Boomssloot 22";"Kantoorachtig huizencomplex";"Armeens Apostolische Kerk";5;"Christelijke kerk overig";"";"POINT(4.9022019,52.3717772)";"POINT(52.3717772,4.9022019)";4.9022019;52.3717772;
166;"Rigpa Nederland - Tibetaans, verhuisd";"Rigpa Nederland";"Kuipersstraat 148";"Onbekend";"Tibetaans, verhuisd";11;"Boeddhistische tempel";"http://www.rigpa.nl/";"POINT(4.9000719,52.3531119)";"POINT(52.3531119,4.9000719)";4.9000719;52.3531119;
167;"Jewish Agency for Israel - Stichting Cefina / Jewish Agency for Israel?";"Jewish Agency for Israel";"Landskroon 3";"Onbekend";"Stichting Cefina / Jewish Agency for Israel?";9;"Joodse synagoge";"";"POINT(4.8604581,52.3258177)";"POINT(52.3258177,4.8604581)";4.8604581;52.3258177;
168;"Lekstraatsjoel - Joodse Gemeenschap";"Lekstraatsjoel";"Lekstraat 61";"Synagoge";"Joodse Gemeenschap";9;"Joodse synagoge";"";"POINT(4.9030602,52.3442618)";"POINT(52.3442618,4.9030602)";4.9030602;52.3442618;
169;"Heilige Nikolaas van Myrakerk (Tichelkerk) - Russisch-orthodoxe kerk";"Heilige Nikolaas van Myrakerk (Tichelkerk)";"Lijnbaansgracht 48";"Kerk";"Russisch-orthodoxe kerk";5;"Christelijke kerk overig";"";"POINT(4.8802268,52.3789374)";"POINT(52.3789374,4.8802268)";4.8802268;52.3789374;
