OBJECTNUMMER;SELECTIE;Nederlandse_naam;Wetenschappelijke_naam;Kademuur;Beschermd;Rode_lijst;Water;Straat;Brugnummer;Aantal_in_2009;Aantal_in_2010;Aantal_in_2011;Aantal_in_2012;Aantal_in_2013;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
180;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Nieuwe Achtergracht";"Nieuwe Achtergracht";"";"";"";"";"1";"0 exemplaren";"POINT(4.9110482,52.3630416)";"POINT(52.3630416,4.9110482)";4.9110482;52.3630416;
181;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Nieuwe Herengracht";"Schipperssluis";"SLU";"0 exemplaren";"";"";"";"14";"POINT(4.9111788,52.3699271)";"POINT(52.3699271,4.9111788)";4.9111788;52.3699271;
182;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Singelgracht";"Mauritskade";"187";"3";"";"";"";"0 exemplaren";"POINT(4.9114368,52.3609473)";"POINT(52.3609473,4.9114368)";4.9114368;52.3609473;
183;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Entrepotdok";"Plantagekade";"";"";"";"";"";"1";"POINT(4.9114511,52.3691985)";"POINT(52.3691985,4.9114511)";4.9114511;52.3691985;
184;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Nieuwe Herengracht";"Schipperssluis";"SLU";"";"";"";"";"1";"POINT(4.9115288,52.3701521)";"POINT(52.3701521,4.9115288)";4.9115288;52.3701521;
185;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Singelgracht";"Brug Mauritskade Spinozastraat";"187";"1";"";"";"";"0 exemplaren";"POINT(4.9117138,52.361138)";"POINT(52.361138,4.9117138)";4.9117138;52.361138;
186;"NB_990";"Muurfijnstraal";"Erigeron karvinskianus";"Ja";"";"";"Entrepotdok";"Plantagekade";"";"4";"";"4";"";"6";"POINT(4.9117458,52.3690917)";"POINT(52.3690917,4.9117458)";4.9117458;52.3690917;
187;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Singelgracht";"Mauritskade";"";"1";"";"";"";"0 exemplaren";"POINT(4.9119489,52.3611418)";"POINT(52.3611418,4.9119489)";4.9119489;52.3611418;
188;"NB_2638";"Moerasvaren";"Thelypteris palustris";"Ja";"";"";"Entrepotdok";"Plantagekade";"";"1";"";"1";"";"2";"POINT(4.9119079,52.3690383)";"POINT(52.3690383,4.9119079)";4.9119079;52.3690383;
189;"NB_9017";"Rotsnavelkruid";"Umbilicus rupestris";"Ja";"";"";"Entrepotdok";"Entrepotdok";"";"";"";"";"";"3";"POINT(4.9119632,52.3694274)";"POINT(52.3694274,4.9119632)";4.9119632;52.3694274;
