OBJECTNUMMER;Banknummer;Huidig_type;Definitief_type;Definitief_foto;Geadopteerd;Tekstplaat;Rotatie;Categorie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
203;"11.07";"Plankenbank";"Plankenbank";"plankenbank.jpg";"Niet beschikbaar";"";262;"Zitbank";"POINT(4.87156,52.359432)";"POINT(52.359432,4.87156)";4.87156;52.359432;
204;"07.17";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";162;"Zitbank";"POINT(4.871899,52.360103)";"POINT(52.360103,4.871899)";4.871899;52.360103;
205;"07.18";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";155;"Zitbank";"POINT(4.872212,52.360181)";"POINT(52.360181,4.872212)";4.872212;52.360181;
206;"07.19";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";196;"Zitbank";"POINT(4.871903,52.359857)";"POINT(52.359857,4.871903)";4.871903;52.359857;
207;"07.20";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";217;"Zitbank";"POINT(4.872532,52.359709)";"POINT(52.359709,4.872532)";4.872532;52.359709;
208;"07.21";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";200;"Zitbank";"POINT(4.87267,52.359662)";"POINT(52.359662,4.87267)";4.87267;52.359662;
209;"07.25";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";73;"Zitbank";"POINT(4.872869,52.360089)";"POINT(52.360089,4.872869)";4.872869;52.360089;
210;"07.24";"Nog niet geplaatst";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar, nog niet geplaatst";"";73;"Zitbank";"POINT(4.872893,52.360047)";"POINT(52.360047,4.872893)";4.872893;52.360047;
211;"07.23";"Nog niet geplaatst";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar, nog niet geplaatst";"";73;"Zitbank";"POINT(4.872923,52.359992)";"POINT(52.359992,4.872923)";4.872923;52.359992;
212;"07.22";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";252;"Zitbank";"POINT(4.873027,52.359895)";"POINT(52.359895,4.873027)";4.873027;52.359895;
213;"07.26";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";136;"Zitbank";"POINT(4.872582,52.360347)";"POINT(52.360347,4.872582)";4.872582;52.360347;
214;"07.27";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";158;"Zitbank";"POINT(4.873108,52.360538)";"POINT(52.360538,4.873108)";4.873108;52.360538;
